wavelength_um,n
0.25,1.589
0.26,1.582
0.27,1.574
0.28,1.568
0.29,1.562
0.30,1.557
0.31,1.553
0.32,1.549
0.33,1.546
0.34,1.543
0.35,1.54
0.36,1.538
0.37,1.536
0.38,1.534
0.39,1.532
0.4,1.53
0.41,1.529
0.42,1.527
0.43,1.526
0.44,1.525
0.45,1.524
0.46,1.523
0.47,1.522
0.48,1.521
0.49,1.52
0.5,1.519
0.51,1.518
0.52,1.518
0.53,1.517
0.54,1.516
0.55,1.516
0.56,1.515
0.57,1.515
0.58,1.514
0.59,1.514
0.6,1.513
0.61,1.513
0.62,1.512
0.63,1.512
0.64,1.512
0.65,1.511
0.66,1.511
0.67,1.511
0.68,1.51
0.69,1.51
0.7,1.51
0.71,1.51
0.72,1.509
0.73,1.509
0.74,1.509
0.75,1.509
0.76,1.508
0.77,1.508
0.78,1.508
0.79,1.508
0.8,1.508
0.81,1.508
0.82,1.507
0.83,1.507
0.84,1.507
0.85,1.507
0.86,1.507
0.87,1.507
0.88,1.506
0.89,1.506
0.9,1.506
0.91,1.506
0.92,1.506
0.93,1.506
0.94,1.506
0.95,1.506
0.96,1.506
0.97,1.505
0.98,1.505
0.99,1.505
1,1.505
1.01,1.505
1.02,1.505
1.03,1.505
1.04,1.505
1.05,1.505
1.06,1.505
1.07,1.505
1.08,1.505
1.09,1.504
1.1,1.504
1.11,1.504
1.12,1.504
1.13,1.504
1.14,1.504
1.15,1.504
1.16,1.504
1.17,1.504
1.18,1.504
1.19,1.504
1.2,1.504
1.21,1.504
1.22,1.504
1.23,1.504
1.24,1.504
1.25,1.504
1.26,1.504
1.27,1.503
1.28,1.503
1.29,1.503
1.3,1.503
1.31,1.503
1.32,1.503
1.33,1.503
1.34,1.503
1.35,1.503
1.36,1.503
1.37,1.503
1.38,1.503
1.39,1.503
1.4,1.503
1.41,1.503
1.42,1.503
1.43,1.503
1.44,1.503
1.45,1.503
1.46,1.503
1.47,1.503
1.48,1.503
1.49,1.503
1.5,1.503
1.51,1.503
1.52,1.503
1.53,1.503
1.54,1.503
1.55,1.503
1.56,1.503
1.57,1.503
1.58,1.502
1.59,1.502
1.6,1.502
1.61,1.502
1.62,1.502
1.63,1.502
1.64,1.502
1.65,1.502
1.66,1.502
1.67,1.502
1.68,1.502
1.69,1.502
1.70,1.502
